"id","ext_id","name","email","start_date","end_date","license_type","ext_url","is_active","is_enabled","user_role"
100000001,"BH_5205181","Robert Bunsen","jgarfield@example.com",NULL,NULL,NULL,"",1,1,""
100000004,"BH_5254536","Antoine Lavoisier","wharding@example.com",NULL,NULL,NULL,"",1,1,""
100000005,"BH_5191084","Niels Bohr","tjefferson@example.com",NULL,NULL,NULL,"",1,1,""
100000007,"BH_5258138","James Prescott Joule","froosevelt@example.com",NULL,NULL,NULL,"",0,1,""
100000008,"BH_5093781","Jonas Salk","htruman@whitehosue.gov",NULL,NULL,NULL,"",1,1,""
100000012,"BH_5190333","Johannes Kepler","mvanburen@example.com",NULL,NULL,NULL,"",1,1,""
100000019,"BH_5246737","Amedeo Avogadro","deisenhower@example.com",NULL,NULL,NULL,"",0,1,""
100000023,"BH_5188379","Galileo Galilei","example@example.com",NULL,NULL,NULL,"",1,1,""
100000027,"BH_5196644","Joseph John Thomson","jkennedy@example.com",NULL,NULL,NULL,"",1,1,""
100000028,"BH_5192768","Archimedes","fred.shilmover@gmail.com",NULL,NULL,NULL,"",0,1,""
100000029,"BH_5132649","Albert Einstein","jadams@example.com",NULL,NULL,NULL,"",1,1,""
100000035,"BH_985152","Erna Schneider",NULL,NULL,NULL,NULL,"",0,0,""
100000036,"BH_5255202","Leonardo da Vinci","gcleveland@example.com",NULL,NULL,NULL,"",1,1,""
100000038,"BH_3540237","Grace Hopper",NULL,NULL,NULL,NULL,"",0,0,""
100000041,"BH_4974792","James Maxwell","troosevelt@example.com",NULL,NULL,NULL,"",1,1,""
100000044,"BH_5246665","Julius Robert von Mayer","gford@example.com",NULL,NULL,NULL,"",1,1,""
100000049,"BH_5113047","Max Planck","ugrant@example.com",NULL,NULL,NULL,"",1,1,""
100000050,"BH_4974803","Frances Allen","test@test.com",NULL,NULL,NULL,"",0,0,""
100000051,"BH_4974804","Ken Thompson","test@test.com",NULL,NULL,NULL,"",0,0,""
100000062,"BH_5258475","Blaise Pascal","ljohnson@example.com",NULL,NULL,NULL,"",1,1,""
100000063,"BH_5258476","Thomas Newcomen","rnixon@example.com",NULL,NULL,NULL,"",1,1,""
100000066,"BH_5180670","Thomas Alva Edison","jquincyadams@example.com",NULL,NULL,NULL,"",1,1,""
100000067,"BH_5180671","Louis Pasteur","jmadison@example.com",NULL,NULL,NULL,"",1,1,""
100000068,"BH_5246721","Henry Cavendish","fpierce@example.com",NULL,NULL,NULL,"",1,1,""
100000069,"BH_5205497","Paul Dirac","rhayes@example.com",NULL,NULL,NULL,"",1,1,""
100000071,"BH_5193489","Rene Descartes","jpolk@example.com",NULL,NULL,NULL,"",1,1,""
100000075,"BH_5100352","Charles Darwin","wtaft@example.com",NULL,NULL,NULL,"",1,1,""
100000086,"BH_5132420","iBridge",NULL,NULL,NULL,NULL,"",0,0,""
100000087,"BH_5198216","Carl Sagan","carthur@example.com",NULL,NULL,NULL,"",0,0,""
100000094,"BH_4974799","Edwin Hubble","wharrison@example.com",NULL,NULL,NULL,"",1,1,""
100000095,"BH_4974800","Alexander Graham Bell","hhoover@example.com",NULL,NULL,NULL,"",1,1,""
100000098,"BH_5205499","Jean Sammet",NULL,NULL,NULL,NULL,"",0,0,""
100000101,"BH_5205496","Donald Knuth",NULL,NULL,NULL,NULL,"",0,0,""
100000103,"BH_5205494","Ada Lovelace",NULL,NULL,NULL,NULL,"",0,0,""
100000104,"BH_5205493","William Ramsay","jmonroe@example.com",NULL,NULL,NULL,"",1,1,""
100000105,"BH_5205492","Michael Faraday","mfillmore@example.com",NULL,NULL,NULL,"",1,1,""
100000106,"BH_5205491","Anita Borg",NULL,NULL,NULL,NULL,"",0,0,""
100000109,"BH_5205503","Robert Boyle","ajohnson@example.com",NULL,NULL,NULL,"",0,0,""
100000110,"BH_5205500","Rob Pike",NULL,NULL,NULL,NULL,"",0,0,""
100000115,"BH_5251377","John Dalton","jtyler@example.com",NULL,NULL,NULL,"",1,1,""
100000116,"BH_5205488","Linus Torvalds",NULL,NULL,NULL,NULL,"",0,0,""
100000118,"BH_5205484","Richard Stallman",NULL,NULL,NULL,NULL,"",0,0,""
100000122,"BH_5205480","Archimedes","example@example.com",NULL,NULL,NULL,"",0,0,""
100000123,"BH_5205481","Aristotle",NULL,NULL,NULL,NULL,"",0,0,""
100000124,"BH_5205482","Nikola Tesla","bharrison@example.com",NULL,NULL,NULL,"",0,0,""
100000128,"BH_5195831","Ernest Rutherford","wwilson@example.com",NULL,NULL,NULL,"",1,1,""
100000129,"BH_5107765","Marie Curie","ztaylor@example.com",NULL,NULL,NULL,"",0,0,""
100000138,"BH_5205471","Charles Augustin de Coulomb",NULL,NULL,NULL,NULL,"",0,0,""
100000139,"BH_5205470","Henry Bessemer","ccoolidge@example.com",NULL,NULL,NULL,"",0,0,""
100000140,"BH_5205473","Wilhelm Conrad Rontgen",NULL,NULL,NULL,NULL,"",0,0,""
100000142,"BH_5205475","Alfred Nobel","rreagan@example.com",NULL,NULL,NULL,"",0,0,""
100000144,"BH_5205477","William Henry","alincoln@example.com",NULL,NULL,NULL,"",1,1,""
100000146,"BH_5205479","Chandrasekhara Venkata Raman",NULL,NULL,NULL,NULL,"",0,0,""
100000153,"BH_5109939","Conference Room",NULL,NULL,NULL,NULL,"",0,0,""
100000154,"BH_4974791","Nicholas Copernicus","jbuchanan@example.com",NULL,NULL,NULL,"",1,1,""
100000155,"BH_5131948","Emil Fisher","wmckinley@example.com",NULL,NULL,NULL,"",1,1,""
100000163,"BH_5203398","Internal Search Daxtra",NULL,NULL,NULL,NULL,"",0,1,""
100000164,"BH_5135818","Sir Isaac Newton","ajackson@example.com",NULL,NULL,NULL,"",1,1,""
100000179,"BH_5258473","Johann Wolfgang Dobereiner","jcarter@example.com",NULL,NULL,NULL,"",1,1,""
